AGGREGATE_mongodb,Data Reads
ALTER ACCOUNT_snowflake,Access Changes
ALTER AGGREGATE_postgresql,Schema Changes
ALTER COLLATION_postgresql,Privileged Commands
ALTER COLUMN_postgresql,Schema Changes
ALTER CONVERSION_postgresql,Privileged Commands
ALTER DATABASE_postgresql,Repo Changes
ALTER DATABASE_sqlserver,Repo Changes
ALTER DOMAIN_postgresql,Schema Changes
ALTER EVENT TRIGGER_postgresql,Privileged Commands
ALTER EXTENSION_postgresql,Privileged Commands
ALTER FOREIGN DATA WRAPPER_postgresql,Privileged Commands
ALTER FOREIGN TABLE_postgresql,Schema Changes
ALTER FUNCTION_postgresql,Privileged Commands
ALTER GROUP_postgresql,Access Changes
ALTER INDEX_postgresql,Schema Changes
ALTER INTEGRATION_snowflake,Access Changes
ALTER LOGFILE GROUP_mariadb,Privileged Commands
ALTER LOGFILE GROUP_mysql,Privileged Commands
ALTER MATERIALIZED VIEW_postgresql,View Changes
ALTER OPERATOR CLASS_postgresql,Privileged Commands
ALTER OPERATOR FAMILY_postgresql,Privileged Commands
ALTER OPERATOR_postgresql,Privileged Commands
ALTER PROCEDURE_postgresql,Privileged Commands
ALTER PUBLICATION_postgresql,Schema Changes
ALTER ROLE_postgresql,Access Changes
ALTER ROUTINE_postgresql,Privileged Commands
ALTER RULE_postgresql,Schema Changes
ALTER SCHEMA_postgresql,Schema Changes
ALTER SEQUENCE_postgresql,Schema Changes
ALTER SERVER_postgresql,Privileged Commands
ALTER STATISTICS_postgresql,Schema Changes
ALTER SUBSCRIPTION_postgresql,Schema Changes
ALTER SYSTEM_postgresql,Privileged Commands
ALTER TABLESPACE_postgresql,Privileged Commands
ALTER TABLE_denodo,Schema Changes
ALTER TABLE_dremio,Schema Changes
ALTER TABLE_mariadb,Schema Changes
ALTER TABLE_mysql,Schema Changes
ALTER TABLE_oracle,Schema Changes
ALTER TABLE_postgresql,Schema Changes
ALTER TABLE_redshift,Schema Changes
ALTER TABLE_snowflake,Schema Changes
ALTER TABLE_sqlserver,Schema Changes
ALTER TEXT SEARCH CONFIGURATION_postgresql,Privileged Commands
ALTER TEXT SEARCH DICTIONARY_postgresql,Privileged Commands
ALTER TEXT SEARCH PARSER_postgresql,Privileged Commands
ALTER TEXT SEARCH TEMPLATE_postgresql,Privileged Commands
ALTER TRIGGER_postgresql,Privileged Commands
ALTER TYPE_postgresql,Privileged Commands
ALTER USER_mariadb,Access Changes
ALTER USER_mysql,Access Changes
ALTER USER_postgresql,Access Changes
ALTER USER_snowflake,Access Changes
ALTER USER_sqlserver,Access Changes
ALTER VIEW_postgresql,View Changes
ANALYZE_postgresql,Data Reads
BACKUP_postgresql,Privileged Commands
BEGIN TRANSACTION_postgresql,Query Flow Operation
BINLOG_mariadb,Privileged Commands
BINLOG_mysql,Privileged Commands
CHECKPOINT_postgresql,Privileged Commands
COLLMOD_mongodb,Schema Changes
COMMENT ON COLUMN_postgresql,Schema Changes
COMMENT ON DATABASE_postgresql,Repo Changes
COMMENT ON TABLE_postgresql,Schema Changes
COMMIT TRANSACTION_postgresql,Query Flow Operation
COPY OBJECT_s3,Data Changes
COPY_postgresql,Data Changes
CREATE ACCESS METHOD_postgresql,Privileged Commands
CREATE AGGREGATE_postgresql,Privileged Commands
CREATE BUCKET_s3,Schema Changes
CREATE CAST_postgresql,Privileged Commands
CREATE COLLATION_postgresql,Privileged Commands
CREATE COLLECTION_mongodb,Schema Changes
CREATE CONVERSION_postgresql,Privileged Commands
CREATE DATABASE_postgresql,Repo Changes
CREATE DATABASE_sqlserver,Repo Changes
CREATE DOMAIN_postgresql,Schema Changes
CREATE EVENT TRIGGER_postgresql,Privileged Commands
CREATE EXTENSION_postgresql,Privileged Commands
CREATE EXTERNAL TABLE_postgresql,Schema Changes
CREATE FOREIGN DATA WRAPPER_postgresql,Privileged Commands
CREATE FOREIGN TABLE_postgresql,Schema Changes
CREATE FUNCTION_postgresql,Privileged Commands
CREATE GROUP_postgresql,Access Changes
CREATE LANGUAGE_postgresql,Privileged Commands
CREATE LOGIN_sqlserver,Access Changes
