SELECT_postgresql,Select Data
FETCH_postgresql,Select Data
SELECT_mysql,Select Data
SELECT_mariadb,Select Data
SELECT_oracle,Select Data
SELECT_sqlserver,Select Data
FIND_mongodb,Select Data
SELECT_dremio,Select Data
SELECT_denodo,Select Data
SELECT_redshift,Select Data
SELECT_snowflake,Select Data
LIST OBJECTS_s3,Select Data
MOVE_postgresql,Select Data Bulk
AGGREGATE_mongodb,Select Data Bulk
LIST OBJECTS V2_s3,Select Data Bulk
GETMORE_mongodb,Select Data
GET OBJECT_s3,Select Data
QUERY_mongodb,Export Data Bulk
LIST BUCKETS_s3,Export Data Bulk
ANALYZE_postgresql,Analyze Statistics
SELECT OBJECT CONTENT_s3,Analyze Statistics
EXPLAIN_postgresql,Explain
INSERT_postgresql,Insert Data
INSERT_mysql,Insert Data
INSERT_mariadb,Insert Data
INSERT_oracle,Insert Data
INSERT_sqlserver,Insert Data
INSERT_mongodb,Insert Data
INSERT_denodo,Insert Data
INSERT_redshift,Insert Data
INSERT_snowflake,Insert Data
PUT OBJECT_s3,Insert Data
COPY OBJECT_s3,Insert Data
CREATE MULTIPART UPLOAD_s3,Insert Data
UPLOAD PART_s3,Insert Data
UPDATE_postgresql,Update Data
UPDATE_mysql,Update Data
UPDATE_mariadb,Update Data
UPDATE_oracle,Update Data
UPDATE_sqlserver,Update Data
UPDATE_mongodb,Update Data
FIND AND MODIFY_mongodb,Update Data
MAPREDUCE_mongodb,Update Data
UPDATE_denodo,Update Data
UPDATE_redshift,Update Data
UPDATE_snowflake,Update Data
DELETE_postgresql,Delete Data
DELETE FROM_postgresql,Delete Data
DELETE_mysql,Delete Data
DELETE_mariadb,Delete Data
DELETE_oracle,Delete Data
DELETE_sqlserver,Delete Data
DELETE_mongodb,Delete Data
DELETE_denodo,Delete Data
DELETE_redshift,Delete Data
DELETE_snowflake,Delete Data
DELETE OBJECT_s3,Delete Data
DELETE OBJECTS_s3,Delete Data
COPY_postgresql,Copy Data
CREATE VIEW_postgresql,Create View
CREATE MATERIALIZED VIEW_postgresql,Create View
CREATE TEMPORARY VIEW_postgresql,Create View
CREATE VIEW_mongodb,Create View
ALTER VIEW_postgresql,Alter View
ALTER MATERIALIZED VIEW_postgresql,Alter View
DROP VIEW_postgresql,Drop View
DROP MATERIALIZED VIEW_postgresql,Drop View
DROP VIEW_mongodb,Drop View
CREATE TABLE_postgresql,Create Table
CREATE EXTERNAL TABLE_postgresql,Create Table
CREATE TEMPORARY TABLE_postgresql,Create Table
CREATE TABLE_mysql,Create Table
CREATE TABLE_mariadb,Create Table
CREATE TABLE_oracle,Create Table
CREATE TABLE_sqlserver,Create Table
CREATE TABLE AS_dremio,Create Table
CREATE TABLE_denodo,Create Table
CREATE TABLE_redshift,Create Table
CREATE TABLE_snowflake,Create Table
ALTER TABLE_postgresql,Alter Table
ALTER RULE_postgresql,Alter Table
CREATE RULE_postgresql,Alter Table
DROP RULE_postgresql,Alter Table
CREATE FOREIGN TABLE_postgresql,Alter Table
ALTER TABLE_mysql,Alter Table
ALTER TABLE_mariadb,Alter Table
ALTER TABLE_oracle,Alter Table
ALTER TABLE_sqlserver,Alter Table
ALTER TABLE_dremio,Alter Table
ALTER TABLE_denodo,Alter Table
ALTER TABLE_redshift,Alter Table
ALTER TABLE_snowflake,Alter Table
DROP TABLE_postgresql,Delete Table
DROP FOREIGN TABLE_postgresql,Delete Table
DROP TABLE_mysql,Delete Table
DROP TABLE_mariadb,Delete Table
DROP TABLE_oracle,Delete Table
DROP TABLE_sqlserver,Delete Table
DROP TABLE_dremio,Delete Table
DROP TABLE_denodo,Delete Table
DROP TABLE_redshift,Delete Table
DROP TABLE_snowflake,Delete Table
sp_rename_sqlserver,Rename Table
CREATE SCHEMA_postgresql,Create Schema
ALTER SCHEMA_postgresql,Modify Schema
ALTER INDEX_postgresql,Modify Schema
ALTER SEQUENCE_postgresql,Modify Schema
DROP SEQUENCE_postgresql,Modify Schema
DROP INDEX_postgresql,Modify Schema
CREATE SEQUENCE_postgresql,Modify Schema
ALTER AGGREGATE_postgresql,Modify Schema
ALTER COLUMN_postgresql,Modify Schema
ALTER DOMAIN_postgresql,Modify Schema
ALTER FOREIGN TABLE_postgresql,Modify Schema
CREATE DOMAIN_postgresql,Modify Schema
DROP COLUMN_postgresql,Modify Schema
DROP DOMAIN_postgresql,Modify Schema
RENAME COLUMN_postgresql,Modify Schema
ALTER PUBLICATION_postgresql,Modify Schema
ALTER STATISTICS_postgresql,Modify Schema
ALTER SUBSCRIPTION_postgresql,Modify Schema
CREATE PUBLICATION_postgresql,Modify Schema
CREATE SUBSCRIPTION_postgresql,Modify Schema
DROP PUBLICATION_postgresql,Modify Schema
DROP STATISTICS_postgresql,Modify Schema
DROP SUBSCRIPTION_postgresql,Modify Schema
DROP SCHEMA_postgresql,Delete Schema
COMMENT ON TABLE_postgresql,Annotate Schema
COMMENT ON COLUMN_postgresql,Annotate Schema
sp_addextendedproperty_sqlserver,Annotate Schema
CREATE COLLECTION_mongodb,Create Collection
COLLMOD_mongodb,Alter Collection
DROP COLLECTION_mongodb,Delete Collection
CREATE BUCKET_s3,Create Bucket
DELETE BUCKET_s3,Delete Bucket
BEGIN TRANSACTION_postgresql,Begin Transaction
DEALLOCATE_postgresql,Cursor Operation
DECLARE_postgresql,Variable Declaration
DISCARD_postgresql,Clear Session State
DISCARD ALL_postgresql,Clear Session State
DISCARD ROWS_postgresql,Clear Session State
EXECUTE_postgresql,Execute Stored Procedure
LISTEN_postgresql,Listen
NOTIFY_postgresql,Notify
PREPARE_postgresql,Prepare Statement
RELEASE SAVEPOINT_postgresql,Release Savepoint
ROLLBACK TRANSACTION_postgresql,Rollback Transaction
ROLLBACK TRANSACTION TO SAVEPOINT_postgresql,Rollback Transaction
COMMIT TRANSACTION_postgresql,Commit Transaction
SAVEPOINT_postgresql,Savepoint
CREATE DATABASE_postgresql,Create Database
CREATE DATABASE_sqlserver,Create Database
ALTER DATABASE_postgresql,Update Database
